#arm_id	pass	config	threads	mask	test	reps	rep_batch	n_prompt	n_gen	telemetry	trace	events	variant
sweep.tg_t6_free.b2	sweep	tg_t6_free	6	free	tg	20	2	0	128	1	0	-	-
counters.tg_t8_free.core	counters	tg_t8_free	8	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t6_free.core	counters	tg_t6_free	6	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t2_A55.core	counters	tg_t2_A55	2	0x03	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t2_A75.core	counters	tg_t2_A75	2	0xC0	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t4_mix.core	counters	tg_t4_mix	4	0xC3	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t6_free.a55	counters	tg_t6_free	6	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t2_free.a55	counters	tg_t2_free	2	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t6_A55.core	counters	tg_t6_A55	6	0x3F	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t8_free.a55	counters	tg_t8_free	8	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t2_A75.a55	counters	tg_t2_A75	2	0xC0	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t6_A55.a55	counters	tg_t6_A55	6	0x3F	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t4_free.a55	counters	tg_t4_free	4	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t4_mix.a55	counters	tg_t4_mix	4	0xC3	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
counters.tg_t2_free.core	counters	tg_t2_free	2	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t4_free.core	counters	tg_t4_free	4	free	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	core
counters.tg_t2_A55.a55	counters	tg_t2_A55	2	0x03	tg	10	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-cortex-a55-stall-backend-ilock:u,raw-cortex-a55-stall-backend-ld-cache:u	a55
control.tg_t6_free.simpleperf.b0	control	tg_t6_free	6	free	tg	20	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.bare.b0	control	tg_t6_free	6	free	tg	20	0	0	128	0	0	-	bare
control.tg_t6_free.telemetry.b0	control	tg_t6_free	6	free	tg	20	0	0	128	1	1	-	telemetry
control.tg_t2_A75.telemetry.b0	control	tg_t2_A75	2	0xC0	tg	20	0	0	128	1	1	-	telemetry
control.tg_t2_A75.simpleperf.b0	control	tg_t2_A75	2	0xC0	tg	20	0	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.bare.b0	control	tg_t2_A75	2	0xC0	tg	20	0	0	128	0	0	-	bare
control.tg_t6_free.telemetry.b1	control	tg_t6_free	6	free	tg	20	1	0	128	1	1	-	telemetry
control.tg_t6_free.bare.b1	control	tg_t6_free	6	free	tg	20	1	0	128	0	0	-	bare
control.tg_t6_free.simpleperf.b1	control	tg_t6_free	6	free	tg	20	1	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.telemetry.b1	control	tg_t2_A75	2	0xC0	tg	20	1	0	128	1	1	-	telemetry
control.tg_t2_A75.bare.b1	control	tg_t2_A75	2	0xC0	tg	20	1	0	128	0	0	-	bare
control.tg_t2_A75.simpleperf.b1	control	tg_t2_A75	2	0xC0	tg	20	1	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.simpleperf.b2	control	tg_t6_free	6	free	tg	20	2	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.telemetry.b2	control	tg_t6_free	6	free	tg	20	2	0	128	1	1	-	telemetry
control.tg_t6_free.bare.b2	control	tg_t6_free	6	free	tg	20	2	0	128	0	0	-	bare
control.tg_t2_A75.telemetry.b2	control	tg_t2_A75	2	0xC0	tg	20	2	0	128	1	1	-	telemetry
control.tg_t2_A75.simpleperf.b2	control	tg_t2_A75	2	0xC0	tg	20	2	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.bare.b2	control	tg_t2_A75	2	0xC0	tg	20	2	0	128	0	0	-	bare
control.tg_t6_free.telemetry.b3	control	tg_t6_free	6	free	tg	20	3	0	128	1	1	-	telemetry
control.tg_t6_free.simpleperf.b3	control	tg_t6_free	6	free	tg	20	3	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.bare.b3	control	tg_t6_free	6	free	tg	20	3	0	128	0	0	-	bare
control.tg_t2_A75.bare.b3	control	tg_t2_A75	2	0xC0	tg	20	3	0	128	0	0	-	bare
control.tg_t2_A75.simpleperf.b3	control	tg_t2_A75	2	0xC0	tg	20	3	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.telemetry.b3	control	tg_t2_A75	2	0xC0	tg	20	3	0	128	1	1	-	telemetry
control.tg_t6_free.bare.b4	control	tg_t6_free	6	free	tg	20	4	0	128	0	0	-	bare
control.tg_t6_free.telemetry.b4	control	tg_t6_free	6	free	tg	20	4	0	128	1	1	-	telemetry
control.tg_t6_free.simpleperf.b4	control	tg_t6_free	6	free	tg	20	4	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.telemetry.b4	control	tg_t2_A75	2	0xC0	tg	20	4	0	128	1	1	-	telemetry
control.tg_t2_A75.simpleperf.b4	control	tg_t2_A75	2	0xC0	tg	20	4	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.bare.b4	control	tg_t2_A75	2	0xC0	tg	20	4	0	128	0	0	-	bare
control.tg_t6_free.telemetry.b5	control	tg_t6_free	6	free	tg	20	5	0	128	1	1	-	telemetry
control.tg_t6_free.simpleperf.b5	control	tg_t6_free	6	free	tg	20	5	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.bare.b5	control	tg_t6_free	6	free	tg	20	5	0	128	0	0	-	bare
control.tg_t2_A75.simpleperf.b5	control	tg_t2_A75	2	0xC0	tg	20	5	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t2_A75.telemetry.b5	control	tg_t2_A75	2	0xC0	tg	20	5	0	128	1	1	-	telemetry
control.tg_t2_A75.bare.b5	control	tg_t2_A75	2	0xC0	tg	20	5	0	128	0	0	-	bare
control.tg_t6_free.telemetry.b6	control	tg_t6_free	6	free	tg	20	6	0	128	1	1	-	telemetry
control.tg_t6_free.simpleperf.b6	control	tg_t6_free	6	free	tg	20	6	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.bare.b6	control	tg_t6_free	6	free	tg	20	6	0	128	0	0	-	bare
control.tg_t2_A75.bare.b6	control	tg_t2_A75	2	0xC0	tg	20	6	0	128	0	0	-	bare
control.tg_t2_A75.telemetry.b6	control	tg_t2_A75	2	0xC0	tg	20	6	0	128	1	1	-	telemetry
control.tg_t2_A75.simpleperf.b6	control	tg_t2_A75	2	0xC0	tg	20	6	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.telemetry.b7	control	tg_t6_free	6	free	tg	20	7	0	128	1	1	-	telemetry
control.tg_t6_free.simpleperf.b7	control	tg_t6_free	6	free	tg	20	7	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
control.tg_t6_free.bare.b7	control	tg_t6_free	6	free	tg	20	7	0	128	0	0	-	bare
control.tg_t2_A75.telemetry.b7	control	tg_t2_A75	2	0xC0	tg	20	7	0	128	1	1	-	telemetry
control.tg_t2_A75.bare.b7	control	tg_t2_A75	2	0xC0	tg	20	7	0	128	0	0	-	bare
control.tg_t2_A75.simpleperf.b7	control	tg_t2_A75	2	0xC0	tg	20	7	0	128	0	0	cpu-cycles:u,instructions:u,raw-stall-backend:u,raw-ll-cache-miss-rd:u	simpleperf
